"plotID","trapID","collectDate","functionalGroup","dryMass","qaDryMass","subplotID","decimalLatitude","decimalLongitude","elevation","nlcdClass","plotType","geodeticDatum"
"NIWO_058","NIWO_058_101","2016-06-16","Other",0.02,"Y",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-06-16","Leaves",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-06-16","Seeds",0.05,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-06-16","Flowers",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_064","NIWO_064_103","2016-06-16","Twigs/branches",1.15,"Y",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-06-16","Twigs/branches",1.79,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-06-16","Leaves",0,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-06-16","Other",0.48,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-06-16","Flowers",0.05,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-06-16","Woody material",1.35,"Y",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-06-16","Flowers",0,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-06-16","Flowers",0.11,"Y",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_064","NIWO_064_103","2016-06-16","Woody material",4.12,"N",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84"
"NIWO_064","NIWO_064_103","2016-06-16","Leaves",0,"N",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-06-16","Twigs/branches",0.52,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-06-16","Needles",2.49,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-07-14","Woody material",0.33,"Y",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-07-14","Seeds",0,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-07-14","Needles",16.86,"Y",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-07-14","Other",1.68,"Y",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-07-14","Needles",4.14,"Y",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-07-14","Seeds",0.01,"Y",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-07-14","Woody material",0.43,"Y",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-07-14","Flowers",0,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-07-14","Twigs/branches",0.36,"Y",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-07-14","Woody material",0.06,"Y",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-07-14","Flowers",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-07-14","Twigs/branches",0.13,"Y",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-07-14","Needles",0.31,"Y",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-07-14","Leaves",0.08,"Y",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-07-14","Other",1.2,"Y",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-07-14","Flowers",0.02,"Y",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-07-14","Seeds",0,"N",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-07-14","Seeds",0,"N",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-07-14","Leaves",0.09,"Y",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-07-14","Seeds",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-07-14","Twigs/branches",1.13,"Y",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-07-14","Other",0.01,"Y",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-07-14","Flowers",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-07-14","Needles",0.9,"Y",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-07-14","Seeds",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-07-14","Woody material",0,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-07-14","Flowers",0.01,"Y",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-07-14","Needles",11.18,"Y",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-07-14","Other",2.29,"Y",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-07-14","Twigs/branches",0.03,"Y",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-07-14","Twigs/branches",0.04,"Y",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-07-14","Needles",12.29,"Y",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-07-14","Woody material",0.04,"Y",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-07-14","Other",0.24,"Y",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-07-14","Leaves",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-07-14","Woody material",0.17,"Y",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-07-14","Flowers",0,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-07-14","Leaves",0.08,"Y",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-07-14","Needles",1.71,"Y",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-07-14","Flowers",0,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-07-14","Seeds",0,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-07-14","Other",0.01,"Y",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-07-14","Leaves",0.06,"Y",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-07-14","Woody material",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-07-14","Leaves",0.01,"Y",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-07-14","Leaves",0.01,"Y",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-07-14","Twigs/branches",2.48,"Y",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-07-14","Twigs/branches",2.15,"Y",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-07-14","Other",0.52,"Y",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_063","NIWO_063_062","2016-08-11","Flowers",0.005,"N",32,40.04898,-105.585058,3432.7,"shrubScrub","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-08-11","Woody material",0,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-08-11","Woody material",0,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-08-11","Leaves",0.005,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-08-11","Other",0.03,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-08-11","Seeds",0,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-08-11","Other",0.21,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-08-11","Flowers",0.22,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_040","NIWO_040_205","2016-08-11","Flowers",0.3,"N",41,40.046551,-105.584709,3364,"evergreenForest","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-08-11","Seeds",0,"N",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-08-11","Seeds",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-08-11","Flowers",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-08-11","Woody material",0.005,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-08-11","Twigs/branches",0,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-08-11","Needles",0.3,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-08-11","Seeds",0,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-08-11","Flowers",0.04,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-08-11","Other",0,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_063","NIWO_063_062","2016-08-11","Seeds",0,"N",32,40.04898,-105.585058,3432.7,"shrubScrub","tower","WGS84"
"NIWO_063","NIWO_063_062","2016-08-11","Other",0,"N",32,40.04898,-105.585058,3432.7,"shrubScrub","tower","WGS84"
"NIWO_063","NIWO_063_062","2016-08-11","Leaves",0,"N",32,40.04898,-105.585058,3432.7,"shrubScrub","tower","WGS84"
"NIWO_063","NIWO_063_062","2016-08-11","Needles",0.61,"N",32,40.04898,-105.585058,3432.7,"shrubScrub","tower","WGS84"
"NIWO_063","NIWO_063_062","2016-08-11","Woody material",0,"N",32,40.04898,-105.585058,3432.7,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-08-11","Woody material",0.01,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-08-11","Flowers",0.02,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-08-11","Seeds",0,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-08-11","Other",0.08,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-08-11","Flowers",0.01,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-08-11","Other",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-08-11","Flowers",0.15,"Y",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-08-11","Twigs/branches",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-08-11","Seeds",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-08-11","Leaves",0,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-08-11","Seeds",0,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-08-11","Leaves",0,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-08-11","Twigs/branches",0.35,"Y",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-08-11","Leaves",0,"N",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-08-11","Woody material",0.01,"Y",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-08-11","Twigs/branches",0.21,"N",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-08-11","Flowers",0.02,"N",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_040","NIWO_040_205","2016-08-11","Twigs/branches",0,"N",41,40.046551,-105.584709,3364,"evergreenForest","tower","WGS84"
"NIWO_040","NIWO_040_205","2016-08-11","Seeds",0,"N",41,40.046551,-105.584709,3364,"evergreenForest","tower","WGS84"
"NIWO_040","NIWO_040_205","2016-08-11","Leaves",0,"N",41,40.046551,-105.584709,3364,"evergreenForest","tower","WGS84"
"NIWO_040","NIWO_040_205","2016-08-11","Other",0.46,"N",41,40.046551,-105.584709,3364,"evergreenForest","tower","WGS84"
"NIWO_040","NIWO_040_205","2016-08-11","Woody material",0.29,"Y",41,40.046551,-105.584709,3364,"evergreenForest","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-08-11","Twigs/branches",0,"N",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-08-11","Flowers",0,"N",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-08-11","Needles",1.58,"Y",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-08-11","Other",0,"N",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-08-11","Woody material",0,"N",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-08-11","Twigs/branches",0.12,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-08-11","Leaves",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-08-11","Other",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-08-11","Leaves",0,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-08-11","Other",0,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-08-11","Leaves",0,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-08-11","Seeds",0,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-08-11","Needles",0.89,"Y",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_063","NIWO_063_062","2016-08-11","Twigs/branches",0,"N",32,40.04898,-105.585058,3432.7,"shrubScrub","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-08-11","Flowers",0.02,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-08-11","Needles",4.09,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-08-11","Twigs/branches",0.01,"Y",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-08-11","Needles",0.47,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-08-11","Twigs/branches",0.06,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-08-11","Woody material",0.01,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-08-11","Needles",1.88,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-08-11","Woody material",0,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-08-11","Needles",1.32,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-08-11","Needles",2.29,"N",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-08-11","Seeds",0,"N",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_067","NIWO_067_017","2016-08-11","Other",0,"N",31,40.04979,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84"
"NIWO_040","NIWO_040_205","2016-08-11","Needles",1.58,"Y",41,40.046551,-105.584709,3364,"evergreenForest","tower","WGS84"
"NIWO_041","NIWO_041_059","2016-08-11","Leaves",0,"N",32,40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-08-11","Needles",0.06,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_051","NIWO_051_045","2016-08-11","Woody material",0,"N",31,40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-08-11","Twigs/branches",0,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_046","NIWO_046_155","2016-08-11","Leaves",0,"N",40,40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84"
