"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year "|" Citation"|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Intoxication|Knockdown|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||.3333||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||1||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Intoxication|Knockdown|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||.0833||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||.25||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Intoxication|Knockdown|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||1||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|NOEL||12/||NR/||NR/|||AI g/ha|Not reported||.1667||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|NOEL||12/||NR/||NR/|||AI g/ha|Not reported||.0833||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus mali|Chalcid Wasp|Insects/Spiders|Adult||NR||NR||NR|Not reported|Environmental, unspecified|Litter|Lab|3|Active ingredient||9.6||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LOEL||9.6||NR||NR|||AI mg/L|Not reported||2||NR||NR|Day(s)|Radrigan-Navarro,C., E.H. Beers, A. Alvear, and E. Fuentes-Contreras|187340|Acute Toxicity of Lethal and Sublethal Concentrations of Neonicotinoid, Insect Growth Regulator and Diamide Insecticides on Natural Enemies of the Woolly Apple Aphid and the Obscure Mealybug|Chil. J. Agric. Res.81(3): 398-407|2021|Radrigan-Navarro,C., E.H. Beers, A. Alvear, and E. Fuentes-Contreras (2021). Acute Toxicity of Lethal and Sublethal Concentrations of Neonicotinoid, Insect Growth Regulator and Diamide Insecticides on Natural Enemies of the Woolly Apple Aphid and the Obscure Mealybug. Chil. J. Agric. Res., 81, (3), 398-407. doi:10.4067/S0718-58392021000300398. ECOREF#:187340|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus mali|Chalcid Wasp|Insects/Spiders|Adult||NR||NR||NR|Not reported|Environmental, unspecified|Litter|Lab|3|Active ingredient||9.6||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LOEL||9.6||NR||NR|||AI mg/L|Not reported||1||NR||NR|Day(s)|Radrigan-Navarro,C., E.H. Beers, A. Alvear, and E. Fuentes-Contreras|187340|Acute Toxicity of Lethal and Sublethal Concentrations of Neonicotinoid, Insect Growth Regulator and Diamide Insecticides on Natural Enemies of the Woolly Apple Aphid and the Obscure Mealybug|Chil. J. Agric. Res.81(3): 398-407|2021|Radrigan-Navarro,C., E.H. Beers, A. Alvear, and E. Fuentes-Contreras (2021). Acute Toxicity of Lethal and Sublethal Concentrations of Neonicotinoid, Insect Growth Regulator and Diamide Insecticides on Natural Enemies of the Woolly Apple Aphid and the Obscure Mealybug. Chil. J. Agric. Res., 81, (3), 398-407. doi:10.4067/S0718-58392021000300398. ECOREF#:187340|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphis craccivora|Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, unspecified|Litter|Field natural|2|Formulation||0.25/||NR/||NR/|%|||||||||||||||||Population|Abundance|LOEL||0.25/||NR/||NR/|||%|Not reported||NR||3||7|Day(s)|Chaudhari,A.J., D.M. Korat, and M.R. Dabhi|187435|Bio-Efficacy of Newer Insecticides Against Major Insect Pests of Indian Bean, Lablab purpureus L|L. Krishna Naik28(4): 616-619|2015|Chaudhari,A.J., D.M. Korat, and M.R. Dabhi (2015). Bio-Efficacy of Newer Insecticides Against Major Insect Pests of Indian Bean, Lablab purpureus L. L. Krishna Naik, 28, (4), 616-619. ECOREF#:187435|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphis craccivora|Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, unspecified|Litter|Field natural|2|Formulation||0.25/||NR/||NR/|%|||||||||||||||||Population|Abundance|LOEL||0.25/||NR/||NR/|||%|Not reported||1||NR||NR|Growing season|Chaudhari,A.J., D.M. Korat, and M.R. Dabhi|187435|Bio-Efficacy of Newer Insecticides Against Major Insect Pests of Indian Bean, Lablab purpureus L|L. Krishna Naik28(4): 616-619|2015|Chaudhari,A.J., D.M. Korat, and M.R. Dabhi (2015). Bio-Efficacy of Newer Insecticides Against Major Insect Pests of Indian Bean, Lablab purpureus L. L. Krishna Naik, 28, (4), 616-619. ECOREF#:187435|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphis craccivora|Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, unspecified|Litter|Field natural|2|Formulation||0.25/||NR/||NR/|%|||||||||||||||||Population|Abundance|LOEL||0.25/||NR/||NR/|||%|Not reported|<|1||NR||NR|Growing season|Chaudhari,A.J., D.M. Korat, and M.R. Dabhi|187435|Bio-Efficacy of Newer Insecticides Against Major Insect Pests of Indian Bean, Lablab purpureus L|L. Krishna Naik28(4): 616-619|2015|Chaudhari,A.J., D.M. Korat, and M.R. Dabhi (2015). Bio-Efficacy of Newer Insecticides Against Major Insect Pests of Indian Bean, Lablab purpureus L. L. Krishna Naik, 28, (4), 616-619. ECOREF#:187435|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured|>|99||NR||NR|Apis cerana ssp. cerana|Asiatic Honey Bee|Insects/Spiders|Adult||NR||NR||NR|Not reported|Food|No substrate|Lab|6|Active ingredient||197.625||NR||NR|mg/L diet|||||||||||||||||Mortality|Mortality|LC50||197.625||NR||NR|||mg/L diet|Not reported||2||NR||NR|Day(s)|Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao|191061|Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana)|Pestic. Biochem. Physiol.194:10 p.|2023|Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured|>|99||NR||NR|Apis cerana ssp. cerana|Asiatic Honey Bee|Insects/Spiders|Adult||NR||NR||NR|Not reported|Food|No substrate|Lab|2|Active ingredient||39.5/||NR/||NR/|mg/L diet|||||||||||||||||Enzyme(s)|Cytochrome P-450|LOEL||39.5/||NR/||NR/|||mg/L diet|Abdomen||1||NR||NR|Day(s)|Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao|191061|Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana)|Pestic. Biochem. Physiol.194:10 p.|2023|Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061|
