"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/18/2024","AQS","370110002","1","1.6","ug/m3 LC","9","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/21/2024","AQS","370110002","1","9.6","ug/m3 LC","52","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/24/2024","AQS","370110002","1","2","ug/m3 LC","11","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/27/2024","AQS","370110002","1","12.8","ug/m3 LC","58","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/01/2024","AQS","370110002","1","3.8","ug/m3 LC","21","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/04/2024","AQS","370110002","1","12.7","ug/m3 LC","58","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/07/2024","AQS","370110002","1","1.8","ug/m3 LC","10","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/10/2024","AQS","370110002","1","1.2","ug/m3 LC","7","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/13/2024","AQS","370110002","1","11.1","ug/m3 LC","55","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/16/2024","AQS","370110002","1","2","ug/m3 LC","11","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/19/2024","AQS","370110002","1","3.2","ug/m3 LC","18","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/22/2024","AQS","370110002","1","16.4","ug/m3 LC","65","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/25/2024","AQS","370110002","1","3.3","ug/m3 LC","18","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/28/2024","AQS","370110002","1","2.6","ug/m3 LC","14","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/31/2024","AQS","370110002","1","5.4","ug/m3 LC","30","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/03/2024","AQS","370110002","1","2.3","ug/m3 LC","13","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/06/2024","AQS","370110002","1","1.2","ug/m3 LC","7","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/09/2024","AQS","370110002","1","7.4","ug/m3 LC","41","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/12/2024","AQS","370110002","1","2.1","ug/m3 LC","12","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/15/2024","AQS","370110002","1","5.7","ug/m3 LC","32","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/18/2024","AQS","370110002","1","4.8","ug/m3 LC","27","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/21/2024","AQS","370110002","1","3.1","ug/m3 LC","17","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/24/2024","AQS","370110002","1","4.8","ug/m3 LC","27","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/27/2024","AQS","370110002","1","7.4","ug/m3 LC","41","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"04/30/2024","AQS","370110002","1","4.7","ug/m3 LC","26","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/03/2024","AQS","370110002","1","7.3","ug/m3 LC","41","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/06/2024","AQS","370110002","1","3.9","ug/m3 LC","22","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/15/2024","AQS","370110002","1","2.3","ug/m3 LC","13","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/18/2024","AQS","370110002","1","3.3","ug/m3 LC","18","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/21/2024","AQS","370110002","1","6.1","ug/m3 LC","34","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/24/2024","AQS","370110002","1","4.3","ug/m3 LC","24","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/27/2024","AQS","370110002","1","4.5","ug/m3 LC","25","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"05/30/2024","AQS","370110002","1","2.3","ug/m3 LC","13","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/02/2024","AQS","370110002","1","5","ug/m3 LC","28","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/05/2024","AQS","370110002","1","4.3","ug/m3 LC","24","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/08/2024","AQS","370110002","1","4.5","ug/m3 LC","25","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/11/2024","AQS","370110002","1","4.3","ug/m3 LC","24","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/14/2024","AQS","370110002","1","9","ug/m3 LC","50","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/17/2024","AQS","370110002","1","11.7","ug/m3 LC","56","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/20/2024","AQS","370110002","1","5.6","ug/m3 LC","31","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/23/2024","AQS","370110002","1","8","ug/m3 LC","44","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/26/2024","AQS","370110002","1","5.3","ug/m3 LC","29","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"06/29/2024","AQS","370110002","1","5.9","ug/m3 LC","33","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/02/2024","AQS","370110002","1","3.8","ug/m3 LC","21","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/05/2024","AQS","370110002","1","5.9","ug/m3 LC","33","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/08/2024","AQS","370110002","1","4.5","ug/m3 LC","25","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/11/2024","AQS","370110002","1","3.6","ug/m3 LC","20","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/14/2024","AQS","370110002","1","7.2","ug/m3 LC","40","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/17/2024","AQS","370110002","1","7","ug/m3 LC","39","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/20/2024","AQS","370110002","1","3.8","ug/m3 LC","21","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/23/2024","AQS","370110002","1","4.3","ug/m3 LC","24","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/26/2024","AQS","370110002","1","11.8","ug/m3 LC","56","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"07/29/2024","AQS","370110002","1","4.4","ug/m3 LC","24","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/01/2024","AQS","370110002","1","5.5","ug/m3 LC","31","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/04/2024","AQS","370110002","1","5.2","ug/m3 LC","29","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/07/2024","AQS","370110002","1","2.1","ug/m3 LC","12","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/10/2024","AQS","370110002","1","7.8","ug/m3 LC","43","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/13/2024","AQS","370110002","1","6.5","ug/m3 LC","36","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/16/2024","AQS","370110002","1","7.3","ug/m3 LC","41","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/19/2024","AQS","370110002","1","3.3","ug/m3 LC","18","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/22/2024","AQS","370110002","1","6.9","ug/m3 LC","38","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/25/2024","AQS","370110002","1","8.7","ug/m3 LC","48","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/28/2024","AQS","370110002","1","10.7","ug/m3 LC","54","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"08/31/2024","AQS","370110002","1","8.1","ug/m3 LC","45","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/03/2024","AQS","370110002","1","3.1","ug/m3 LC","17","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/06/2024","AQS","370110002","1","4.7","ug/m3 LC","26","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/09/2024","AQS","370110002","1","3.3","ug/m3 LC","18","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/12/2024","AQS","370110002","1","6.9","ug/m3 LC","38","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/15/2024","AQS","370110002","1","3.5","ug/m3 LC","19","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/18/2024","AQS","370110002","1","4.7","ug/m3 LC","26","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/21/2024","AQS","370110002","1","5.9","ug/m3 LC","33","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"09/24/2024","AQS","370110002","1","6.9","ug/m3 LC","38","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"11/08/2024","AQS","370110002","1","4.8","ug/m3 LC","27","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"11/11/2024","AQS","370110002","1","2.4","ug/m3 LC","13","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"11/14/2024","AQS","370110002","1","2.1","ug/m3 LC","12","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"11/17/2024","AQS","370110002","1","3.5","ug/m3 LC","19","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"11/29/2024","AQS","370110002","1","3.6","ug/m3 LC","20","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"12/02/2024","AQS","370110002","1","1.9","ug/m3 LC","11","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"12/05/2024","AQS","370110002","1","2.8","ug/m3 LC","16","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
